Ref,Val,Package,PosX,PosY,Rot,Side
"CAN_TERM1","CAN_TERM","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",115.468900,-72.335550,180.000000,bottom
"JP2","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",138.950000,-106.000000,0.000000,bottom
"JP3","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",134.918900,-106.020550,0.000000,bottom
"JP4","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",130.768900,-106.020550,0.000000,bottom
"3v3/2","CAN_VREF","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.418900,-71.110550,90.000000,top
"Boot1","10kΩ","R_0402_1005Metric",107.018900,-74.110550,90.000000,top
"C1","2.2uF 100v","C_1206_3216Metric",129.846400,-88.340550,-90.000000,top
"C2","2.2uF 100v","C_1206_3216Metric",127.346400,-88.340550,-90.000000,top
"C3","100 nF","C_0402_1005Metric",109.600000,-102.100000,180.000000,top
"C4","100nF","C_0402_1005Metric",136.096400,-85.320550,90.000000,top
"C5","6.8nF","C_0402_1005Metric",143.096400,-88.860550,90.000000,top
"C6","47uF 10v","C_1206_3216Metric",140.018900,-77.510550,180.000000,top
"C7","47uF 10v","C_1206_3216Metric",140.018900,-79.910550,180.000000,top
"C8","39pF","C_0402_1005Metric",146.096400,-88.860550,90.000000,top
"C9","100nF","C_0402_1005Metric",107.400000,-102.100000,0.000000,top
"C10","22uF","C_0402_1005Metric",107.400000,-103.200000,180.000000,top
"C11","1µF 10V X5R","C_0402_1005Metric",146.000000,-73.380000,90.000000,top
"C12","100nf","C_0402_1005Metric",128.898900,-119.743850,0.000000,top
"C13","100nf","C_0402_1005Metric",126.818900,-119.743850,0.000000,top
"C14","4.7µF 10V X5R","C_0402_1005Metric",151.300000,-72.500000,-90.000000,top
"C15","100 nF","C_0402_1005Metric",121.915000,-81.035000,-90.000000,top
"CAND1","CAN_D","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.618900,-79.510550,90.000000,top
"CANR1","CAN_R","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.618900,-77.500000,90.000000,top
"D2","SS54","D_SMA",108.000000,-114.000000,90.000000,top
"D3","Green","LED_0603_1608Metric",111.218900,-71.370550,90.000000,top
"D4","Red","LED_0603_1608Metric",115.930000,-114.530000,90.000000,top
"D5","SS54","D_SMA",146.418900,-77.510550,0.000000,top
"D6","SS54","D_SMA",123.718900,-71.035550,90.000000,top
"D7","SS56","D_SMA",129.558900,-83.710550,0.000000,top
"D8","SS56","D_SMA",141.096400,-82.840550,180.000000,top
"D_TVS1","SMBJ58A","D_SMB",130.018900,-74.835550,180.000000,top
"F1","C41367225","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",129.696400,-79.710550,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",152.000000,-119.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",102.000000,-119.000000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",152.000000,-64.000000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",102.000000,-64.000000,0.000000,top
"J1","Conn_01x04_Pin","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",120.718900,-64.035550,180.000000,top
"J2","Conn_01x04_Pin","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",110.218900,-64.035550,180.000000,top
"J4","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",138.918900,-101.870550,180.000000,top
"J5","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",134.918900,-101.870550,180.000000,top
"J6","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",130.918900,-101.870550,180.000000,top
"J7","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",152.500000,-101.910550,180.000000,top
"J8","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",148.500000,-101.910550,180.000000,top
"J9","PINHD_1x3_Male","PinHeader_1x03_P2.54mm_Vertical",144.500000,-101.870550,180.000000,top
"J11","Qwiic_Vertical","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",119.000000,-105.550000,90.000000,top
"J12","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7051x",111.330000,-107.080000,0.000000,top
"L1","8.2uH","L_Changjiang_FNR4010S",147.596400,-82.340550,0.000000,top
"R1","523k","R_0402_1005Metric",132.846400,-88.340550,-90.000000,top
"R2","84.5kΩ","R_0402_1005Metric",132.846400,-90.850550,-90.000000,top
"R3","162kΩ","R_0402_1005Metric",134.096400,-90.840550,-90.000000,top
"R4","13.0kΩ","R_0402_1005Metric",144.596400,-89.360550,0.000000,top
"R5","59kΩ","R_0402_1005Metric",149.596400,-88.850550,-90.000000,top
"R6","10.2kΩ","R_0402_1005Metric",147.596400,-88.840550,90.000000,top
"R7","5.1kΩ","R_0402_1005Metric",114.080000,-111.620000,-90.000000,top
"R8","5.1kΩ","R_0402_1005Metric",112.790000,-111.740000,-90.000000,top
"R9","120Ω","R_0402_1005Metric",116.418900,-71.135550,180.000000,top
"R12","33Ω","R_0402_1005Metric",152.510000,-105.870550,0.000000,top
"R13","33Ω","R_0402_1005Metric",148.510000,-105.870550,0.000000,top
"R14","33Ω","R_0402_1005Metric",144.520000,-105.870550,0.000000,top
"R15","10kΩ","R_0402_1005Metric",138.928900,-106.110550,0.000000,top
"R16","10kΩ","R_0402_1005Metric",134.898900,-106.110550,0.000000,top
"R17","10kΩ","R_0402_1005Metric",130.818900,-106.110550,0.000000,top
"R18","4.7kΩ","R_0402_1005Metric",122.908900,-103.910550,180.000000,top
"R19","4.7kΩ","R_0402_1005Metric",122.908900,-104.910550,0.000000,top
"R22","1k","R_0402_1005Metric",112.500000,-71.400550,-90.000000,top
"R23","100Ω","R_0402_1005Metric",115.810000,-112.080000,90.000000,top
"Reset1","10kΩ","R_0402_1005Metric",110.018900,-74.310550,-90.000000,top
"SW1","SMD_4.2x3.2mm_h2.5mm","Push_SMD_4.2x3.2mm",110.650000,-78.550000,90.000000,top
"SW2","SMD_4.2x3.2mm_h2.5mm","Push_SMD_4.2x3.2mm",107.175000,-78.500000,-90.000000,top
"TP_3v3","3v3","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",150.218900,-70.310550,0.000000,top
"TP_5v1","5v","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",144.418900,-73.910550,0.000000,top
"TP_CS1","IMU CS","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",130.618900,-114.743850,0.000000,top
"TP_GND1","GND","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",135.018900,-82.310550,90.000000,top
"TP_INT1","IMU INT1","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",123.218900,-114.543850,0.000000,top
"TP_INT2","IMU INT2","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",123.218900,-116.543850,0.000000,top
"TP_SCL1","IMU SCL","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",130.618900,-116.743850,0.000000,top
"TP_SDA1","IMU_SDA","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",132.818900,-116.743850,0.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",111.858900,-91.710550,90.000000,top
"U2","ISM6HG256XTR","LGA14L_2P5X3_STM",127.000000,-116.993913,0.000000,top
"U3","SN65HVD230DR","D8-L",115.218600,-77.095400,90.000000,top
"U4","TPS54360BQDDARQ1","DDA8_3P1X2P4_TEX-L",138.718950,-88.745550,0.000000,top
"U5","AP2112K-3.3","SOT-23-5",148.618900,-73.910550,0.000000,top
"U6","USBLC6-2P6","SOT-666",110.977500,-112.280000,-90.000000,top
"XT30F1","Conn_01x02","AMASS_XT30UPB-F_1x02_P5.0mm_Vertical",131.400000,-69.100000,90.000000,top
"XT30F2","Conn_01x02","AMASS_XT30UPB-F_1x02_P5.0mm_Vertical",137.648900,-69.110550,90.000000,top
"XT30M1","Conn_01x02","AMASS_XT30UPB-M_1x02_P5.0mm_Vertical",143.890000,-69.120000,90.000000,top
